FirmTicker,EngFirmTicker
دانا,BDAN
غنوش,NOSH
فلوله,LMIR
ركارت,FACZ
شبريز,PNTB
ثعمسا,ICCZ
خگستر,GOST
دعبيد,ABDI
نشار,KPAP
شسپا,SEPP
شجم,TJMP
اتكاي,ETKP
كاذر,NSAZ
وقوام,GHMP
فبيرا,BIRP
كاما,BAMA
افق,OFOG
كفرآور,KFRP
انرژي3,BENC
جهرم,PJHP
وانصار,BANS
شتهران,THSH
اكالا,BKLA
كيسون,KSNP
تاپكيش,KPEZ
كآرا,CEIZ
دامين,AMIN
خليبل,LIBP
ختور,RADI
بوعلي,BONA
كمنگنز,MNGZ
لازما,AZMP
زمگسا,MAGS
حشكوه,DLIP
كمرجان,MRJZ
غيوان,KIVP
سيستم,SYSZ
كرمان,KRMZ
فرود,SSTZ
وكوثر,KOSP
آسيا,ASIA
زطوس,MTSP
كمينا,KMIZ
وسرضوي,OS10
غساسا,SASN
وحافظ,HFZP
غشوكو,SPRP
اجداد,ZBAL
تابا,TABP
شتران,PTEH
لپارس,PELC
خكاوه,SPDZ
بپاس,BIPZ
پكيان,LALZ
سغرب,SGRB
واميد,OIMC
دكپسول,IGCZ
تكنار,NARP
پلاست,PLSP
افرا,AFRZ
بدكو,DIOP
غمارگ,MRGN
داوه,AVLZ
چكارن,KRTI
حرآهن,RWTZ
هجرت,HEDZ
تبرك,TIGZ
سامان,BSAZ
كنگار,NGJP
حگردش,RGIP
مارون,PMRZ
سكاب,SKBZ
واحصا,VHSP
وارس,ARSP
كچيني,IRTP
ثپرديس,MPRZ
فتوان,FTVZ
سدبير,DBRP
كمينا,MIGP
فسرب,SORB
زفكا,FAAZ
بتك,KTAP
فروس,FRIS
زبينا,BAHZ
بنو,TNIZ
تپكو,HPKP
وسخوز,OS12
خبازرس,BASZ
وتوشه,TSHE
گلديرا,GOIZ
آريا,APOZ
غمينو,MNOZ
فن آوا,FANP
آپ,APPE
پرسپوليس,PSPP
فتوسا,ILZZ
كچيني,CHIR
حريل,HRLZ
كاصفا,KESF
چرمش,CHSZ
شرنگي,SHRG
هجرت,HJRP
وسقم,OS18
شملي,MECZ
لسرما,SRMA
وسگيلا,OS24
سخواف,SEKP
كباده,KBDP
بخاور,MLIZ
لخانه,LKPP
كابگن,ABGN
فنرژي,ENAZ
فنورد,NGFO
فسوژ,SOJZ
شلرد,SHLP
دفارا,DFRB
شكبير,PKBP
فروم,TFKR
وسين,VSNP
وكادو,TKDP
حاريا,ARAP
قلرست,GLOR
خارزم,KHRZ
كرازي,TSRZ
فرابورس,FRBP
پترول,IPTP
حقشم,GSMP
خموتور,MSTI
غگيلا,PEGZ
وصنعت,SNMA
ونور,ENRP
ومعين,MOIN
غگز,GSKS
وجامي,JMIP
كپشير,PSIR
پلاسك,PLKK
داتك,DTKP
فنوال,NALM
والبر,ALBZ
سمتاز,CMKP
كورز,VARZ
پدنا,DENA
حجنوب,HJNZ
خفناور,RFNZ
خاذر,AZBS
اروند,RVND
وسلرستا,OS25
فنفت,PEIZ
شكف,KAFP
دسبحان,DSBH
فرابورس,FRBZ
كايزد,YAFZ
امين,TSAN
فسلير,SOLI
ومعادن,MADN
ومهان,MEAZ
سهند,SNDP
لوتوس,LTOS
وتعاون,TAVZ
خكار,KRIR
ارفع,ARFZ
پلوله,GAZL
وسكرشا,OS21
گنگين,NITP
وپترو,PETR
پرداخت,PRKT
ثاباد,ABAD
وسيلام,OS05
ولنوين,VALE
شسم,TSAP
وثوق,VOSP
گپارس,PBRP
شگويا,TPEZ
چكارم,KMSP
لازما,AZMA
غشاذر,SHPZ
قجام,GTOR
نبروج,BROJ
ورازي,RZIP
بوطن,HAMP
نبورس,NBRS
تماوند,DIBZ
شاوان,PNLZ
بهير,HIRP
كاوه,KVEH
دالبر,DALZ
بورس,BORS
حكشتي,KSHJ
فلات,FLTP
بورس,BRSP
سقاين,SGEN
وهنر,IADP
ثجنوب,MSJZ
كپانا,APAP
تفيرو,FROZ
حفجر,KFJR
كاصفا,ITIP
پارس,PARS
شپارس,BMPS
شجم,TJPZ
سبزوا,SBZZ
وسديد,SDID
وبرق,SEIP
غمهرا,MRAM
دابور,DABO
سپرمي,PRMT
ولكار,LKAR
بيستون,BISP
غشصفا,SPPE
سلار,LARP
انرژي1,BENA
بكابل,ABCZ
شكلر,NKOL
اجداد,ZARP
تكشا,GSKE
حرهور,RTRP
كگاز,SGAZ
غكورش,KRSH
سفارود,FRDO
سايرا,IRNP
ونيرو,SNRO
فساز,LSAH
تپكو,HPKO
پاكشو,PASH
خعمرا,OMRZ
بالبر,KALZ
كي بي سي,KBCZ
دشيري,DSHP
ثنور,NORP
لابسا,ASAL
قنيشا,GNBO
ثشاهد,SAHD
كقزوي,SHQP
وسيزد,OS30
پاسا,YASA
تمدن,TMDN
حبندر,BNDP
اپرداز,APDZ
خشرق,KHSH
وتجارت,BTEJ
فنرژي,FNRP
غكولاك,KKSS
ساذري,AZRP
وسكرمان,OS20
دقاضي,GPHP
ساينا,SYNZ
خعمرا,TONP
سدبير,DBRZ
چفيبر,FIBR
فجوش,JSHP
بپيوند,PGRZ
نطرين,ANQZ
برانسفو,TTZC
ثعتما,ETMP
ريشمك,RPEZ
خكاوه,SDLP
غگلستا,PGLZ
وكبهمن,KBIZ
فايرا,ALIR
گوهران,GOMZ
ولاميد,LOMZ
آريان,PAIP
شفن,PFAN
سكرد,SKOR
حكمت,BHKP
فكباتا,EGCS
لخزر,KHAZ
شزنگ,ZNGP
اپال,OPAL
كتوكا,TUKZ
وساشرقي,OS01
خودرو,IKCO
مداران,DADE
فافزا,FAFP
تشتاد,ESHP
دماوند,BDMZ
شتولي,TOPP
وملت,MELT
سبجنو,SBOJ
توسن,TOSZ
ودانا,DANP
ددام,DAML
ثامان,SGOS
فوكا,FVAP
گكوثر,PKHZ
فاسمين,KSIM
دتوزيع,DPDZ
فباهنر,BAHN
وگردش,GRDZ
ولانا,VLNP
قرن,ACTV
قپيرا,GPSH
خاور,KAVR
لجام,JJNM
رمپنا,MAPN
زنگان,ZAGZ
كهمدا,SHMD
وامير,AIMP
سخزر,SKAZ
شتولي,TOPI
سشمال,SIMS
تكالا,TKLA
كماسه,TAMI
شرمان,PNKZ
كوثر,BKSP
شفارا,PFRB
دارو,DPAK
حفجر,FJRZ
سخرم,CKRP
چبسپا,BPRS
وتوس,TGOS
ومعلم,MOIZ
فپنتا,SPTA
شبصير,BSRZ
وسكهبو,OS22
ثباغ,BGHZ
چبسپا,BPRP
رافزا,RYHZ
پارتا,ARTP
ديران,IRDR
پترول,IPTR
شكام,KICZ
بشهاب,LAPS
سغدير,GDRS
ويسا,ISTP
ددانا,DPHZ
فروژ,IFIZ
اوان,MOBZ
كآرا,CEIP
بكاب,JOSH
البرز,BALB
ختوقا,GHAT
فكمند,KPMP
بورس3,BO3P
گشان,PSDP
دپارس,PDRO
هرمز,FOHZ
فالوم,ALTK
شخارك,PKHA
بگيلان,GEDZ
زسپاها,ESGZ
زقيام,GAHZ
حفجر,FJRP
وسفارس,OS16
ذوب,ZOBI
فاهواز,NLAH
نتوس,PTOS
دبالك,BLKZ
قشير,GHSZ
ما,BVMP
ومهر,VMHP
غبهار,GKHP
ولصنم,LSMD
غصينو,MINZ
وپخش,DARO
سپ,SEPK
شپترو,APTP
پارتا,ARTZ
زكشت,IKAZ
ورنا,RENA
وخارزم,IKHR
ثاصفا,SESF
خمحور,TMKH
خاهن,ATIR
ثاصفا,SESP
تدبير,TDBR
ممسني,PMMP
باختر,BAKH
بكهنوج,KAHZ
شاراك,PARK
شپنا,PNES
وساربيل,OS03
توسعه,TSEP
وبملت,BMLT
كنيلو,NILO
حكمت,BHKZ
لپيام,PYAP
حقشم,GSMZ
تراك,MOZI
فزر,PZAZ
غدانه,KCOZ
فزرين,KZIP
ثنام,CNAP
ثملي,BMLI
فپارس,ALPS
پترول,IPTZ
بالاس,BLSZ
فگستر,IZIZ
دزهراوي,DZAH
كطبس,TBAS
فسپا,SEPA
شزنگ,ZNGN
وايرا,VIRP
حپارسا,HPRZ
ذوب,ZOBZ
پارسيان,IPAR
وپاسار,BPAS
كپارس,KPRS
وشمال,SHOP
آبين,ABYP
